,Product,Price
0,Яйцо куриное С1,"69,99 ₽"
1,Лук репчатый желтый,"47,99 ₽"
2,"Огурец гладкий среднеплодный поштучно, 0,1 - 0,45 кг","119,99 ₽"
3,Яйцо куриное С0,"79,99 ₽"
4,"Молоко 2.5%, 900 г","44,98 ₽"
5,Томаты,"179,99 ₽"
6,"Сметана 15%, 350 г","59,99 ₽"
7,"Лимонад «Бочкари» с двойным сиропом, 1,5 л","59,99 ₽"
8,"Напиток сильногазированный «Аян» Крем-сода, 1 л","32,99 ₽"
9,"Напиток сильногазированный «Аян» Лимонад, 1 л","32,99 ₽"
10,"Напиток газированный «Лагвица» Яблоко, 1 л","32,99 ₽"
11,"Лимонад «Черноголовка» Мандарин, 500 мл","43,99 ₽"
12,"Напиток газированный «Fantola» Bubble Gum, 1 л","49,98 ₽"
13,"Байкал «Черноголовка», 2 л","83,99 ₽"
14,"Напиток «Черноголовка» Байкал, 500 мл","28,99 ₽"
15,"Безалкогольный сильногазированный напиток «Фрутто» Апельсин, 1,5 л","38,99 ₽"
16,"Безалкогольный сильногазированный напиток «Фрутто» Колокольчик, 1,5 л","38,99 ₽"
17,"Безалкогольный сильногазированный напиток «Фрутто» Лимонад, 1,5 л","38,99 ₽"
18,"Газированный напиток «Фрутто» Дюшес, 1,5 л","38,99 ₽"
19,"Дюшес «Черноголовка», 500 мл","28,99 ₽"
20,"Дюшес «Напитки из Черноголовки», 2 л","83,99 ₽"
21,"Напиток «Schweppes» Индиан Тоник, 900 мл","109,99 ₽"
22,"Тархун «Напитки из Черноголовки», 2 л","83,99 ₽"
23,"Тархун «Черноголовка», 500 мл","28,99 ₽"
24,"Напиток газированный «Сибирский берег» Травы Сибири, 1,5 л","65,98 ₽"
25,"Напиток «Coca-Cola» zero, 500 мл","69,99 ₽"
26,"Напиток витаминизированный «VITAMINER» SPORT цитрусовый микс, 500 мл","34,97 ₽"
27,"Напиток витаминизированный «VITAMINER» ZERO вишня, гранат,малина, 500 мл","34,97 ₽"
28,"Коктейль безалкогольный, 480 мл","34,99 ₽"
29,"Крюшон «Напитки из Черноголовки», 500 мл","43,99 ₽"
30,"Напиток газированный Bitter лимон, 900 мл","109,99 ₽"
